provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;133;2;8;28133002_8_8;2022;9;1;2;V;1;V;2;V;2;V;2;V;6;V;10;V;14;V;5;V;3;V;3;V;3;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;3;V;2;V;3;V;2;V
28;133;2;10;28133002_10_49;2022;9;1;10;V;13;V;11;V;11;V;9;V;10;V;11;V;19;V;26;V;23;V;22;V;16;V;8;V;7;V;8;V;4;V;5;V;6;V;9;V;11;V;12;V;12;V;10;V;11;V
28;133;2;12;28133002_12_8;2022;9;1;4;V;3;V;4;V;4;V;4;V;8;V;12;V;16;V;7;V;5;V;5;V;5;V;4;V;4;V;4;V;5;V;5;V;4;V;4;V;4;V;5;V;4;V;5;V;4;V
28;133;2;14;28133002_14_6;2022;9;1;102;V;100;V;99;V;98;V;95;V;80;V;75;V;72;V;94;V;112;V;116;V;110;V;102;V;101;V;104;V;106;V;110;V;114;V;113;V;108;V;102;V;96;V;95;V;94;V
28;14;2;7;28014002_7_8;2022;9;1;2;V;3;V;3;V;3;V;6;V;11;V;19;V;32;V;23;V;6;V;8;V;;N;;N;3;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V
28;14;2;8;28014002_8_8;2022;9;1;9;V;13;V;13;V;16;V;34;V;58;V;57;V;57;V;45;V;19;V;20;V;;N;;N;7;V;6;V;8;V;9;V;11;V;15;V;23;V;19;V;8;V;8;V;6;V
28;14;2;10;28014002_10_49;2022;9;1;17;V;18;V;24;V;24;V;27;V;26;V;37;V;55;V;72;V;67;V;;N;;N;21;V;24;V;13;V;9;V;9;V;14;V;11;V;16;V;19;V;20;V;19;V;20;V
28;14;2;12;28014002_12_8;2022;9;1;12;V;18;V;18;V;21;V;43;V;74;V;86;V;107;V;80;V;28;V;33;V;12;V;;N;12;V;12;V;14;V;14;V;18;V;20;V;30;V;27;V;16;V;15;V;14;V
28;14;2;14;28014002_14_8;2022;9;1;69;V;54;V;51;V;46;V;35;V;8;V;15;V;21;V;37;V;81;V;;N;;N;82;V;89;V;91;V;91;V;92;V;86;V;80;V;68;V;70;V;80;V;80;V;77;V
28;14;2;14;28014002_14_6;2022;9;1;71;V;61;V;55;V;56;V;28;V;18;V;18;V;27;V;48;V;83;V;100;V;108;V;99;V;104;V;101;V;94;V;92;V;87;V;77;V;74;V;82;V;92;V;92;V;87;V
28;148;4;7;28148004_7_8;2022;9;1;1;V;1;V;1;V;1;V;7;V;14;V;34;V;11;V;4;V;4;V;5;V;6;V;3;V;2;V;2;V;;N;;N;2;V;2;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2022;9;1;25;V;30;V;16;V;17;V;47;V;65;V;63;V;32;V;17;V;17;V;26;V;31;V;13;V;11;V;9;V;;N;;N;15;V;21;V;23;V;30;V;16;V;12;V;11;V
28;148;4;9;28148004_9_49;2022;9;1;11;V;8;V;4;V;1;V;1;V;1;V;8;V;18;V;5;V;1;V;2;V;4;V;1;V;1;V;1;V;1;V;3;V;16;V;20;V;18;V;16;V;13;V;9;V;6;V
28;148;4;10;28148004_10_49;2022;9;1;23;V;21;V;21;V;18;V;15;V;28;V;41;V;45;V;38;V;32;V;31;V;34;V;35;V;29;V;23;V;18;V;18;V;18;V;20;V;17;V;14;V;15;V;17;V;19;V
28;148;4;12;28148004_12_8;2022;9;1;27;V;32;V;18;V;19;V;58;V;87;V;115;V;49;V;24;V;23;V;34;V;41;V;17;V;14;V;13;V;;N;;N;18;V;23;V;25;V;32;V;18;V;14;V;13;V
28;148;4;14;28148004_14_6;2022;9;1;55;V;40;V;56;V;59;V;25;V;7;V;12;V;50;V;74;V;89;V;106;V;102;V;118;V;120;V;111;V;;N;101;V;96;V;87;V;82;V;67;V;72;V;70;V;60;V
28;16;1;1;28016001_1_38;2022;9;1;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;;N;;N;3;V;3;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;1;V;1;V;2;V;2;V
28;16;1;6;28016001_6_48;2022;9;1;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;;N;;N;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;16;1;7;28016001_7_8;2022;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2022;9;1;4;V;3;V;4;V;4;V;5;V;4;V;4;V;;N;;N;;N;21;V;3;V;3;V;4;V;7;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;16;1;9;28016001_9_49;2022;9;1;3;V;1;V;2;V;4;V;5;V;5;V;5;V;5;V;;N;4;V;8;V;11;V;11;V;10;V;9;V;6;V;5;V;6;V;6;V;7;V;8;V;6;V;2;V;2;V
28;16;1;10;28016001_10_49;2022;9;1;7;V;9;V;8;V;7;V;7;V;8;V;7;V;6;V;;N;7;V;8;V;9;V;11;V;9;V;9;V;9;V;8;V;9;V;7;V;7;V;8;V;7;V;7;V;6;V
28;16;1;12;28016001_12_8;2022;9;1;6;V;5;V;6;V;6;V;7;V;6;V;6;V;;N;;N;;N;24;V;5;V;5;V;6;V;9;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V
28;16;1;14;28016001_14_6;2022;9;1;121;V;121;V;110;V;110;V;102;V;111;V;107;V;;N;;N;111;V;120;V;123;V;127;V;139;V;156;V;128;V;120;V;116;V;107;V;110;V;103;V;102;V;101;V;102;V
28;16;1;20;28016001_20_59;2022;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;30;28016001_30_59;2022;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;42;28016001_42_2;2022;9;1;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;;N;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V
28;16;1;44;28016001_44_2;2022;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;431;28016001_431_59;2022;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;161;1;7;28161001_7_8;2022;9;1;1;V;1;V;1;V;1;V;3;V;6;V;31;V;18;V;6;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;161;1;8;28161001_8_8;2022;9;1;4;V;4;V;5;V;25;V;37;V;44;V;60;V;47;V;34;V;24;V;11;V;8;V;5;V;4;V;4;V;4;V;5;V;5;V;6;V;7;V;5;V;5;V;5;V;4;V
28;161;1;9;28161001_9_49;2022;9;1;9;V;8;V;7;V;10;V;11;V;12;V;15;V;17;V;15;V;12;V;12;V;9;V;9;V;7;V;6;V;5;V;6;V;5;V;5;V;7;V;6;V;8;V;10;V;9;V
28;161;1;12;28161001_12_8;2022;9;1;6;V;6;V;7;V;27;V;42;V;53;V;107;V;75;V;43;V;27;V;13;V;10;V;7;V;6;V;6;V;6;V;7;V;7;V;8;V;9;V;7;V;7;V;7;V;6;V
28;161;1;14;28161001_14_6;2022;9;1;91;V;98;V;92;V;46;V;23;V;25;V;9;V;31;V;62;V;88;V;102;V;109;V;107;V;101;V;100;V;102;V;101;V;98;V;96;V;89;V;89;V;89;V;84;V;81;V
28;171;1;1;28171001_1_38;2022;9;1;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;171;1;6;28171001_6_48;2022;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;171;1;7;28171001_7_8;2022;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2022;9;1;3;V;3;V;5;V;4;V;5;V;9;V;8;V;6;V;4;V;3;V;2;V;3;V;2;V;1;V;1;V;2;V;2;V;1;V;2;V;3;V;2;V;3;V;3;V;3;V
28;171;1;9;28171001_9_49;2022;9;1;15;V;15;V;15;V;14;V;12;V;10;V;8;V;5;V;2;V;1;V;3;V;6;V;6;V;6;V;3;V;3;V;9;V;11;V;10;V;12;V;16;V;15;V;16;V;16;V
